5835272		128		65536		5		1411507019.013851007		1411507019.013929132		1411507019.016080122		1411507019.022426685
4186888		136		69632		5		1411507019.022656268		1411507019.022693091		1411507019.022706425		1411507019.027905436
4187024		8		4096		5		1411507019.028024134		1411507019.028124082		1411507019.028131113		1411507019.028740072
5822992		16		8192		5		1411507019.029457363		1411507019.029480749		1411507019.029490957		1411507019.030193405
4187032		16		8192		5		1411507019.030296894		1411507019.030312988		1411507019.030321686		1411507019.031320384
4187048		8		4096		5		1411507019.031389967		1411507019.031483822		1411507019.031490124		1411507019.032101113
5823424		16		8192		5		1411507019.032373092		1411507019.032394447		1411507019.032406634		1411507019.033113353
5823008		8		4096		5		1411507019.033694342		1411507019.033712832		1411507019.033720957		1411507019.034346322
5822992		16		8192		5		1411507019.035079395		1411507019.035101165		1411507019.035110436		1411507019.036196374
5994520		168		86016		5		1411507019.714755642		1411507019.714939340		1411507019.719528715		1411507019.727418037
4187056		40		20480		5		1411507019.728479183		1411507019.728585850		1411507019.728631475		1411507019.730657152
4187096		8		4096		5		1411507019.730938714		1411507019.731320954		1411507019.731349339		1411507019.732027308
54483296		16		8192		5		1411507019.734186267		1411507019.734287725		1411507019.734345485		1411507019.735202204
4187104		16		8192		5		1411507019.735583819		1411507019.735721631		1411507019.735759287		1411507019.736573819
4187120		8		4096		5		1411507019.737684913		1411507019.738041632		1411507019.738069548		1411507019.738745642
54486448		16		8192		5		1411507019.739968351		1411507019.740066319		1411507019.740123298		1411507019.740967778
4187128		16		8192		5		1411507019.741348351		1411507019.741483976		1411507019.741521840		1411507019.743495851
4187144		8		4096		5		1411507019.743748247		1411507019.744102101		1411507019.744130174		1411507019.744875434
54483312		8		4096		5		1411507019.747845956		1411507019.747927727		1411507019.747973665		1411507019.748739967
4187152		16		8192		5		1411507019.749064706		1411507019.749201113		1411507019.749238248		1411507019.750062623
4187168		8		4096		5		1411507019.750311946		1411507019.750660019		1411507019.750687571		1411507019.751427623
54483296		16		8192		5		1411507019.752617467		1411507019.752715592		1411507019.752772571		1411507019.753923561
54488384		64		32768		5		1411507021.166808410		1411507021.167290962		1411507021.172167941		1411507021.177238462
3969032		8		4096		1		1411507021.167058254		1411507021.172236743		1411507021.177372212		1411507021.178132941
5812248		8		4096		1		1411507021.167066483		1411507021.177609504		1411507021.178258670		1411507021.179016274
33853440		8		4096		1		1411507021.167072004		1411507021.178368149		1411507021.179162055		1411507021.179917680
46960672		8		4096		1		1411507021.167077212		1411507021.179268826		1411507021.180060909		1411507021.180815753
46960712		257		131584		1		1411507021.167082577		1411507021.180167003		1411507021.180958565		1411507021.200857673
5835392		136		69632		5		1411507022.804257986		1411507022.804754861		1411507022.807906945		1411507022.816393663
4187176		224		114688		5		1411507022.818198247		1411507022.818546580		1411507022.818663090		1411507022.826037413
4187400		8		4096		5		1411507022.827027518		1411507022.827414549		1411507022.827453299		1411507022.828235226
5822992		16		8192		5		1411507022.832954757		1411507022.833097882		1411507022.833160590		1411507022.834041944
4187408		16		8192		5		1411507022.834573142		1411507022.834676996		1411507022.834733402		1411507022.835593559
4187424		8		4096		5		1411507022.835980798		1411507022.836323611		1411507022.836362517		1411507022.837141684
5823424		16		8192		5		1411507022.838802205		1411507022.838937413		1411507022.839017726		1411507022.840133663
4187432		16		8192		5		1411507022.840657569		1411507022.840761944		1411507022.840818611		1411507022.841675017
4187448		8		4096		5		1411507022.841987726		1411507022.842416059		1411507022.842455121		1411507022.843230694
5823008		8		4096		5		1411507022.846790122		1411507022.848323924		1411507022.848382726		1411507022.849270278
5822992		16		8192		5		1411507022.851806528		1411507022.851829392		1411507022.851843194		1411507022.852615330
4187456		16		8192		5		1411507022.852707101		1411507022.852724601		1411507022.852733298		1411507022.853921527
4187472		8		4096		5		1411507022.853989392		1411507022.854077100		1411507022.854083090		1411507022.854763715
54488448		40		20480		5		1411507023.215999288		1411507023.216054913		1411507023.218387205		1411507023.219817778
4187480		152		77824		5		1411507023.220048038		1411507023.220091892		1411507023.220108715		1411507023.226092829
4187632		8		4096		5		1411507023.226255694		1411507023.226373090		1411507023.226381319		1411507023.227073351
5994680		216		110592		5		1411507023.394673038		1411507023.395204132		1411507023.395325486		1411507023.404441684
4187640		96		49152		5		1411507023.404904080		1411507023.404964236		1411507023.404988715		1411507023.409825018
4187736		8		4096		5		1411507023.410022257		1411507023.410166997		1411507023.410179028		1411507023.410881111
54483296		16		8192		5		1411507023.411504705		1411507023.411546215		1411507023.411570434		1411507023.412293715
4187744		16		8192		5		1411507023.412468820		1411507023.412500174		1411507023.412517205		1411507023.413305590
4187760		8		4096		5		1411507023.413425434		1411507023.413574288		1411507023.413585694		1411507023.414283976
54486448		16		8192		5		1411507023.414794236		1411507023.414834340		1411507023.414857569		1411507023.415654444
54483312		8		4096		5		1411507023.417228820		1411507023.417262310		1411507023.417281789		1411507023.417988976
4187768		16		8192		5		1411507023.418147830		1411507023.418178247		1411507023.418194497		1411507023.418983976
4187784		8		4096		5		1411507023.419108299		1411507023.419258455		1411507023.419269601		1411507023.419964080
54483296		16		8192		5		1411507023.420482309		1411507023.420522882		1411507023.420546424		1411507023.421328768
3969032		225		115200		5		1411507026.166958142		1411507026.168706266		1411507026.171284912		1411507026.189624651
5835520		168		86016		5		1411507026.454381370		1411507026.454948193		1411507026.458220849		1411507026.465171526
4187792		120		61440		5		1411507026.466709287		1411507026.466931891		1411507026.467018870		1411507026.471525224
4187912		8		4096		5		1411507026.472193974		1411507026.472556161		1411507026.472595536		1411507026.473305328
