4181176		8		4096		5		1429750116.770396256		1429750116.770632089		1429750116.770638912		1429750116.771226725
5066752		145		74240		5		1429750116.771566308		1429750116.771776985		1429750116.771872559		1429750116.783732298
5071656		313		160256		1		1429750116.771754016		1429750116.772158288		1429750116.783820788		1429750116.794360111
4181184		32		16384		5		1429750116.794713079		1429750116.794751413		1429750116.794765058		1429750116.796025631
4181216		8		4096		5		1429750116.796110162		1429750116.796214642		1429750116.796221985		1429750116.796986152
49612312		8		4096		5		1429750116.797191725		1429750116.797211777		1429750116.797222819		1429750116.797846569
4181224		16		8192		5		1429750116.798685839		1429750116.798707766		1429750116.798720787		1429750116.799411412
4181240		8		4096		5		1429750116.799485631		1429750116.799583548		1429750116.799590370		1429750116.800647089
49716968		8		4096		5		1429750119.074708130		1429750119.074751620		1429750119.077446724		1429750119.078313130
4181248		112		57344		5		1429750119.079583495		1429750119.079652557		1429750119.079678026		1429750119.083345370
4181360		8		4096		5		1429750119.083539016		1429750119.083658860		1429750119.083671828		1429750119.084281412
51629888		16		8192		1		1429750119.083962610		1429750119.084013235		1429750119.084335057		1429750119.085051412
4181368		56		28672		5		1429750119.087943443		1429750119.087989224		1429750119.088014224		1429750119.091729224
4181424		8		4096		5		1429750119.092006516		1429750119.092126620		1429750119.092140422		1429750119.092756881
49716968		8		4096		5		1429750119.093024224		1429750119.093067037		1429750119.093084953		1429750119.093698183
4181432		80		40960		5		1429750119.093907662		1429750119.093952141		1429750119.093972922		1429750119.095917297
4181512		8		4096		5		1429750119.096062766		1429750119.096178964		1429750119.096190161		1429750119.096807036
49716976		8		4096		5		1429750119.097031463		1429750119.097062713		1429750119.097081307		1429750119.097890318
4181520		16		8192		5		1429750119.098064484		1429750119.098093807		1429750119.098109849		1429750119.099221463
4181536		8		4096		5		1429750119.099328651		1429750119.099442349		1429750119.099453807		1429750119.100067609
49716968		8		4096		5		1429750119.100299224		1429750119.100333338		1429750119.100351984		1429750119.100984536
51629904		40		20480		5		1429750119.240197244		1429750119.240249276		1429750119.240281463		1429750119.245107766
4181544		72		36864		5		1429750119.245407141		1429750119.245483443		1429750119.245522870		1429750119.249688078
4181616		8		4096		5		1429750119.249817349		1429750119.249925213		1429750119.249933390		1429750119.250537713
51629944		16		8192		5		1429750120.639237243		1429750120.639276045		1429750120.641978910		1429750120.643216410
4181624		88		45056		5		1429750120.643410264		1429750120.643452295		1429750120.643469118		1429750120.647092452
4181712		8		4096		5		1429750120.647218493		1429750120.647303181		1429750120.647312139		1429750120.647917608
51629960		8		4096		5		1429750120.662518806		1429750120.662559535		1429750120.662580420		1429750120.663372660
4181720		104		53248		5		1429750120.663661670		1429750120.663698702		1429750120.663713702		1429750120.667751201
4181824		8		4096		5		1429750120.667888858		1429750120.667983545		1429750120.667992608		1429750120.668672347
49757888		56		28672		5		1429750120.731561201		1429750120.731622087		1429750120.731656566		1429750120.733003650
4181832		136		69632		5		1429750120.733213493		1429750120.733255681		1429750120.733273337		1429750120.737412920
4181968		8		4096		5		1429750120.737566983		1429750120.737660160		1429750120.737669535		1429750120.738347556
49757944		16		8192		5		1429750120.752696879		1429750120.752740837		1429750120.752766202		1429750120.764001150
51166800		8		4096		5		1429750120.766053077		1429750120.766084899		1429750120.766104952		1429750120.766748597
4181976		144		73728		1		1429750120.766161358		1429750120.766204118		1429750120.766799431		1429750120.771442868
4182120		8		4096		5		1429750120.771687868		1429750120.771952295		1429750120.771966983		1429750120.772654118
49773784		16		8192		5		1429750120.867839587		1429750120.867882139		1429750120.867907660		1429750120.868807920
4182128		88		45056		5		1429750120.868974847		1429750120.869005733		1429750120.869019795		1429750120.872633129
4182216		8		4096		5		1429750120.872811045		1429750120.872938806		1429750120.872957087		1429750120.873656827
5017600		249		127488		5		1429750121.002098858		1429750121.002229431		1429750121.002284639		1429750121.019269118
49604560		25		12800		5		1429750121.158280941		1429750121.158353701		1429750121.158387295		1429750121.160595576
4182224		160		81920		5		1429750121.161025420		1429750121.161094430		1429750121.161122608		1429750121.165977920
4182384		8		4096		5		1429750121.166203545		1429750121.166344326		1429750121.166357608		1429750121.166961983
4182392		25		12800		5		1429750121.172760629		1429750121.172886566		1429750121.174582295		1429750121.176141879
